State,State Code,Year of Death,Year of Death Code,Mother's Bridged Race/Hispanic Origin,Mother's Bridged Race/Hispanic Origin Code,Deaths,Births,Death Rate
Alaska,2,2011,2011,Non-Hispanic other races,8,22,3712,5.93
Alaska,2,2012,2012,Non-Hispanic White,6,25,5772,4.33
Alaska,2,2012,2012,Non-Hispanic other races,8,23,3659,6.29
Alaska,2,2013,2013,Non-Hispanic White,6,26,6622,3.93
Alaska,2,2013,2013,Non-Hispanic other races,8,31,3381,9.17
Alaska,2,2014,2014,Non-Hispanic White,6,28,6541,4.28
Alaska,2,2014,2014,Non-Hispanic other races,8,35,3388,10.33
Alaska,2,2015,2015,Non-Hispanic White,6,33,6543,5.04
Alaska,2,2015,2015,Non-Hispanic other races,8,39,3324,11.73
Alaska,2,2016,2016,Non-Hispanic White,6,22,6347,3.47
Alaska,2,2016,2016,Non-Hispanic other races,8,29,3487,8.32
Alaska,2,2017,2017,Non-Hispanic White,6,24,5746,4.18
Alaska,2,2017,2017,Non-Hispanic other races,8,27,3298,8.19
Arizona,4,2007,2007,Mexican,2148-5,279,43640,6.39
Arizona,4,2007,2007,Non-Hispanic White,6,280,42518,6.59
Arizona,4,2007,2007,Non-Hispanic Black,7,50,3913,12.78
Arizona,4,2007,2007,Non-Hispanic other races,8,71,9291,7.64
Arizona,4,2007,2007,Origin unknown or not stated,9,11,890,12.36 (Unreliable)
Arizona,4,2008,2008,Mexican,2148-5,221,40054,5.52
Arizona,4,2008,2008,Non-Hispanic White,6,252,42202,5.97
Arizona,4,2008,2008,Non-Hispanic Black,7,65,4052,16.04
Arizona,4,2008,2008,Non-Hispanic other races,8,81,9136,8.87
Arizona,4,2009,2009,Mexican,2148-5,200,36750,5.44
Arizona,4,2009,2009,Non-Hispanic White,6,212,40037,5.3
Arizona,4,2009,2009,Non-Hispanic Black,7,59,4135,14.27
Arizona,4,2009,2009,Non-Hispanic other races,8,70,8791,7.96
Arizona,4,2010,2010,Mexican,2148-5,198,32776,6.04
Arizona,4,2010,2010,Non-Hispanic White,6,193,39211,4.92
Arizona,4,2010,2010,Non-Hispanic Black,7,41,4058,10.1
Arizona,4,2010,2010,Non-Hispanic other races,8,65,8575,7.58
Arizona,4,2011,2011,Mexican,2148-5,179,31044,5.77
Arizona,4,2011,2011,Non-Hispanic White,6,208,38988,5.33
Arizona,4,2011,2011,Non-Hispanic Black,7,36,4083,8.82
Arizona,4,2011,2011,Non-Hispanic other races,8,74,8921,8.3
Arizona,4,2012,2012,Mexican,2148-5,193,31859,6.06
Arizona,4,2012,2012,Non-Hispanic White,6,167,38836,4.3
Arizona,4,2012,2012,Non-Hispanic Black,7,53,4446,11.92
Arizona,4,2012,2012,Non-Hispanic other races,8,71,9122,7.78
Arizona,4,2013,2013,Mexican,2148-5,155,31580,4.91
Arizona,4,2013,2013,Non-Hispanic White,6,174,38360,4.54
Arizona,4,2013,2013,Non-Hispanic Black,7,53,4437,11.95
Arizona,4,2013,2013,Non-Hispanic other races,8,48,8848,5.42
Arizona,4,2014,2014,Mexican,2148-5,194,31480,6.16
Arizona,4,2014,2014,Non-Hispanic White,6,213,38608,5.52
Arizona,4,2014,2014,Non-Hispanic Black,7,48,4673,10.27
Arizona,4,2014,2014,Non-Hispanic other races,8,62,8272,7.5
Arizona,4,2015,2015,Mexican,2148-5,167,31165,5.36
Arizona,4,2015,2015,Other and Unknown Hispanic,5,15,2153,6.97 (Unreliable)
Arizona,4,2015,2015,Non-Hispanic White,6,174,36976,4.71
Arizona,4,2015,2015,Non-Hispanic Black,7,48,4582,10.48
Arizona,4,2015,2015,Non-Hispanic other races,8,51,8068,6.32
Arizona,4,2016,2016,Mexican,2148-5,175,30606,5.72
Arizona,4,2016,2016,Non-Hispanic White,6,157,36049,4.36
Arizona,4,2016,2016,Non-Hispanic Black,7,42,4606,9.12
Arizona,4,2016,2016,Non-Hispanic other races,8,60,8082,7.42
Arizona,4,2017,2017,Mexican,2148-5,142,29891,4.75
Arizona,4,2017,2017,Other and Unknown Hispanic,5,18,2426,7.42 (Unreliable)
Arizona,4,2017,2017,Non-Hispanic White,6,170,34480,4.93
Arizona,4,2017,2017,Non-Hispanic Black,7,58,4775,12.15
Arizona,4,2017,2017,Non-Hispanic other races,8,61,7762,7.86
Arkansas,5,2007,2007,Mexican,2148-5,22,3614,6.09
Arkansas,5,2007,2007,Non-Hispanic White,6,190,27736,6.85
Arkansas,5,2007,2007,Non-Hispanic Black,7,106,8064,13.14
Arkansas,5,2008,2008,Mexican,2148-5,18,3384,5.32 (Unreliable)
Arkansas,5,2008,2008,Non-Hispanic White,6,173,27257,6.35
Arkansas,5,2008,2008,Non-Hispanic Black,7,103,8029,12.83
Arkansas,5,2009,2009,Mexican,2148-5,19,3318,5.73 (Unreliable)
Arkansas,5,2009,2009,Non-Hispanic White,6,178,26973,6.6
Arkansas,5,2009,2009,Non-Hispanic Black,7,90,7635,11.79
Arkansas,5,2010,2010,Mexican,2148-5,22,3158,6.97
Arkansas,5,2010,2010,Non-Hispanic White,6,172,26113,6.59
Arkansas,5,2010,2010,Non-Hispanic Black,7,72,7354,9.79
Arkansas,5,2011,2011,Mexican,2148-5,15,3030,4.95 (Unreliable)
Arkansas,5,2011,2011,Non-Hispanic White,6,167,26408,6.32
Arkansas,5,2011,2011,Non-Hispanic Black,7,91,7231,12.58
Arkansas,5,2012,2012,Mexican,2148-5,12,2959,4.06 (Unreliable)
Arkansas,5,2012,2012,Non-Hispanic White,6,173,25925,6.67
Arkansas,5,2012,2012,Non-Hispanic Black,7,68,7300,9.32
Arkansas,5,2013,2013,Mexican,2148-5,23,2934,7.84
Arkansas,5,2013,2013,Non-Hispanic White,6,180,25287,7.12
Arkansas,5,2013,2013,Non-Hispanic Black,7,78,7265,10.74
Arkansas,5,2013,2013,Non-Hispanic other races,8,10,1363,7.34 (Unreliable)
Arkansas,5,2014,2014,Mexican,2148-5,17,2898,5.87 (Unreliable)
Arkansas,5,2014,2014,Non-Hispanic White,6,179,25940,6.9
Arkansas,5,2014,2014,Non-Hispanic Black,7,79,7254,10.89
Arkansas,5,2015,2015,Mexican,2148-5,12,2928,4.10 (Unreliable)
Arkansas,5,2015,2015,Non-Hispanic White,6,183,25714,7.12
Arkansas,5,2015,2015,Non-Hispanic Black,7,87,7589,11.46
Arkansas,5,2016,2016,Mexican,2148-5,11,3032,3.63 (Unreliable)
Arkansas,5,2016,2016,Non-Hispanic White,6,189,25273,7.48
Arkansas,5,2016,2016,Non-Hispanic Black,7,92,7296,12.61
Arkansas,5,2016,2016,Non-Hispanic other races,8,12,1531,7.84 (Unreliable)
Arkansas,5,2017,2017,Mexican,2148-5,19,2854,6.66 (Unreliable)
Arkansas,5,2017,2017,Non-Hispanic White,6,168,24439,6.87
Arkansas,5,2017,2017,Non-Hispanic Black,7,92,7295,12.61
Arkansas,5,2017,2017,Non-Hispanic other races,8,15,1585,9.46 (Unreliable)
California,6,2007,2007,Mexican,2148-5,1228,253655,4.84
California,6,2007,2007,Puerto Rican,2180-8,22,2198,10.01
California,6,2007,2007,Central or South American,4,131,30372,4.31
California,6,2007,2007,Other and Unknown Hispanic,5,50,10075,4.96
California,6,2007,2007,Non-Hispanic White,6,731,155912,4.69
California,6,2007,2007,Non-Hispanic Black,7,342,31783,10.76
California,6,2007,2007,Non-Hispanic other races,8,343,73629,4.66
California,6,2007,2007,Origin unknown or not stated,9,96,7998,12
California,6,2008,2008,Mexican,2148-5,1205,238375,5.06
California,6,2008,2008,Puerto Rican,2180-8,14,2044,6.85 (Unreliable)
California,6,2008,2008,Central or South American,4,113,27150,4.16
California,6,2008,2008,Other and Unknown Hispanic,5,104,19275,5.4
California,6,2008,2008,Non-Hispanic White,6,631,151407,4.17
California,6,2008,2008,Non-Hispanic Black,7,339,31975,10.6
California,6,2008,2008,Non-Hispanic other races,8,327,72256,4.53
California,6,2008,2008,Origin unknown or not stated,9,83,8606,9.64
California,6,2009,2009,Mexican,2148-5,1027,219865,4.67
California,6,2009,2009,Puerto Rican,2180-8,13,1987,6.54 (Unreliable)
California,6,2009,2009,Central or South American,4,107,23733,4.51
California,6,2009,2009,Other and Unknown Hispanic,5,145,23955,6.05
California,6,2009,2009,Non-Hispanic White,6,594,146402,4.06
California,6,2009,2009,Non-Hispanic Black,7,303,31090,9.75
California,6,2009,2009,Non-Hispanic other races,8,300,70148,4.28
California,6,2009,2009,Origin unknown or not stated,9,100,9144,10.94
California,6,2010,2010,Mexican,2148-5,911,205640,4.43
California,6,2010,2010,Puerto Rican,2180-8,18,2032,8.86 (Unreliable)
California,6,2010,2010,Central or South American,4,94,22056,4.26
California,6,2010,2010,Other and Unknown Hispanic,5,174,27158,6.41
California,6,2010,2010,Non-Hispanic White,6,607,145931,4.16
California,6,2010,2010,Non-Hispanic Black,7,271,30336,8.93
California,6,2010,2010,Non-Hispanic other races,8,247,67774,3.64
California,6,2010,2010,Origin unknown or not stated,9,93,8569,10.85
California,6,2011,2011,Mexican,2148-5,863,195099,4.42
California,6,2011,2011,Puerto Rican,2180-8,16,2030,7.88 (Unreliable)
California,6,2011,2011,Central or South American,4,76,21324,3.56
California,6,2011,2011,Other and Unknown Hispanic,5,187,30892,6.05
California,6,2011,2011,Non-Hispanic White,6,577,144584,3.99
California,6,2011,2011,Non-Hispanic Black,7,293,29902,9.8
California,6,2011,2011,Non-Hispanic other races,8,277,68820,4.02
California,6,2011,2011,Origin unknown or not stated,9,113,8784,12.86
California,6,2012,2012,Mexican,2148-5,815,189212,4.31
California,6,2012,2012,Central or South American,4,98,20046,4.89
California,6,2012,2012,Other and Unknown Hispanic,5,178,32841,5.42
California,6,2012,2012,Non-Hispanic White,6,518,142697,3.63
California,6,2012,2012,Non-Hispanic Black,7,254,29438,8.63
California,6,2012,2012,Non-Hispanic other races,8,257,75473,3.41
California,6,2012,2012,Origin unknown or not stated,9,110,11217,9.81
California,6,2013,2013,Mexican,2148-5,808,181142,4.46
California,6,2013,2013,Central or South American,4,78,18814,4.15
California,6,2013,2013,Other and Unknown Hispanic,5,215,35660,6.03
California,6,2013,2013,Non-Hispanic White,6,592,143531,4.12
California,6,2013,2013,Non-Hispanic Black,7,278,28931,9.61
California,6,2013,2013,Non-Hispanic other races,8,249,75048,3.32
California,6,2013,2013,Origin unknown or not stated,9,118,8699,13.56
California,6,2014,2014,Mexican,2148-5,718,178810,4.02
California,6,2014,2014,Central or South American,4,75,18689,4.01
California,6,2014,2014,Other and Unknown Hispanic,5,194,37083,5.23
California,6,2014,2014,Non-Hispanic White,6,495,144318,3.43
California,6,2014,2014,Non-Hispanic Black,7,288,28312,10.17
California,6,2014,2014,Non-Hispanic other races,8,247,81828,3.02
California,6,2014,2014,Origin unknown or not stated,9,145,10882,13.32
California,6,2015,2015,Mexican,2148-5,723,175341,4.12
California,6,2015,2015,Puerto Rican,2180-8,11,2139,5.14 (Unreliable)
California,6,2015,2015,Central or South American,4,70,18297,3.83
California,6,2015,2015,Other and Unknown Hispanic,5,223,37690,5.92
California,6,2015,2015,Non-Hispanic White,6,523,141592,3.69
California,6,2015,2015,Non-Hispanic Black,7,239,27035,8.84
California,6,2015,2015,Non-Hispanic other races,8,267,77773,3.43
California,6,2015,2015,Origin unknown or not stated,9,116,11111,10.44
California,6,2016,2016,Mexican,2148-5,707,169742,4.17
California,6,2016,2016,Central or South American,4,67,18376,3.65
California,6,2016,2016,Other and Unknown Hispanic,5,189,37985,4.98
California,6,2016,2016,Non-Hispanic White,6,485,138319,3.51
California,6,2016,2016,Non-Hispanic Black,7,222,26985,8.23
California,6,2016,2016,Non-Hispanic other races,8,250,80247,3.12
California,6,2016,2016,Origin unknown or not stated,9,134,14294,9.37
California,6,2017,2017,Mexican,2148-5,684,162927,4.2
California,6,2017,2017,Puerto Rican,2180-8,11,2023,5.44 (Unreliable)
California,6,2017,2017,Central or South American,4,74,17904,4.13
California,6,2017,2017,Other and Unknown Hispanic,5,212,36500,5.81
California,6,2017,2017,Non-Hispanic White,6,410,133165,3.08
California,6,2017,2017,Non-Hispanic Black,7,221,26440,8.36
California,6,2017,2017,Non-Hispanic other races,8,224,78330,2.86
California,6,2017,2017,Origin unknown or not stated,9,145,13601,10.66
Colorado,8,2007,2007,Mexican,2148-5,122,15834,7.7
Colorado,8,2007,2007,Other and Unknown Hispanic,5,32,4921,6.5
Colorado,8,2007,2007,Non-Hispanic White,6,213,41843,5.09
Colorado,8,2007,2007,Non-Hispanic Black,7,44,3121,14.1
Colorado,8,2007,2007,Non-Hispanic other races,8,10,2863,3.49 (Unreliable)
Colorado,8,2008,2008,Mexican,2148-5,115,15310,7.51
Colorado,8,2008,2008,Other and Unknown Hispanic,5,42,5002,8.4
Colorado,8,2008,2008,Non-Hispanic White,6,208,41489,5.01
Colorado,8,2008,2008,Non-Hispanic Black,7,33,3140,10.51
Colorado,8,2008,2008,Non-Hispanic other races,8,16,2795,5.72 (Unreliable)
Colorado,8,2008,2008,Origin unknown or not stated,9,10,740,13.51 (Unreliable)
Colorado,8,2009,2009,Mexican,2148-5,90,14359,6.27
Colorado,8,2009,2009,Other and Unknown Hispanic,5,36,4831,7.45
Colorado,8,2009,2009,Non-Hispanic White,6,220,41169,5.34
Colorado,8,2009,2009,Non-Hispanic Black,7,44,3120,14.1
Colorado,8,2009,2009,Non-Hispanic other races,8,19,2903,6.54 (Unreliable)
Colorado,8,2010,2010,Mexican,2148-5,79,13356,5.91
Colorado,8,2010,2010,Other and Unknown Hispanic,5,24,4610,5.21
Colorado,8,2010,2010,Non-Hispanic White,6,218,40164,5.43
Colorado,8,2010,2010,Non-Hispanic Black,7,43,3201,13.43
Colorado,8,2010,2010,Non-Hispanic other races,8,20,2873,6.96
Colorado,8,2011,2011,Mexican,2148-5,68,12102,5.62
Colorado,8,2011,2011,Central or South American,4,12,1008,11.90 (Unreliable)
Colorado,8,2011,2011,Other and Unknown Hispanic,5,31,4532,6.84
Colorado,8,2011,2011,Non-Hispanic White,6,185,40439,4.57
Colorado,8,2011,2011,Non-Hispanic Black,7,26,3054,8.51
Colorado,8,2011,2011,Non-Hispanic other races,8,18,2860,6.29 (Unreliable)
Colorado,8,2011,2011,Origin unknown or not stated,9,14,625,22.40 (Unreliable)
Colorado,8,2012,2012,Mexican,2148-5,51,11590,4.4
Colorado,8,2012,2012,Other and Unknown Hispanic,5,26,4738,5.49
Colorado,8,2012,2012,Non-Hispanic White,6,150,39997,3.75
Colorado,8,2012,2012,Non-Hispanic Black,7,36,3122,11.53
Colorado,8,2012,2012,Non-Hispanic other races,8,19,3156,6.02 (Unreliable)
Colorado,8,2012,2012,Origin unknown or not stated,9,10,1121,8.92 (Unreliable)
Colorado,8,2013,2013,Mexican,2148-5,75,11274,6.65
Colorado,8,2013,2013,Other and Unknown Hispanic,5,38,4975,7.64
Colorado,8,2013,2013,Non-Hispanic White,6,167,39872,4.19
Colorado,8,2013,2013,Non-Hispanic Black,7,28,3224,8.68
Colorado,8,2013,2013,Non-Hispanic other races,8,11,3156,3.49 (Unreliable)
Colorado,8,2014,2014,Mexican,2148-5,40,11329,3.53
Colorado,8,2014,2014,Other and Unknown Hispanic,5,28,4735,5.91
Colorado,8,2014,2014,Non-Hispanic White,6,179,40629,4.41
Colorado,8,2014,2014,Non-Hispanic Black,7,33,3355,9.84
Colorado,8,2014,2014,Non-Hispanic other races,8,18,3310,5.44 (Unreliable)
Colorado,8,2015,2015,Mexican,2148-5,57,11726,4.86
Colorado,8,2015,2015,Other and Unknown Hispanic,5,26,4631,5.61
Colorado,8,2015,2015,Non-Hispanic White,6,155,40878,3.79
Colorado,8,2015,2015,Non-Hispanic Black,7,28,3453,8.11
Colorado,8,2015,2015,Non-Hispanic other races,8,19,3261,5.83 (Unreliable)
Colorado,8,2015,2015,Origin unknown or not stated,9,13,850,15.29 (Unreliable)
Colorado,8,2016,2016,Mexican,2148-5,57,12042,4.73
Colorado,8,2016,2016,Other and Unknown Hispanic,5,20,4522,4.42
Colorado,8,2016,2016,Non-Hispanic White,6,162,40346,4.02
Colorado,8,2016,2016,Non-Hispanic Black,7,40,3415,11.71
Colorado,8,2016,2016,Non-Hispanic other races,8,16,3515,4.55 (Unreliable)
Colorado,8,2016,2016,Origin unknown or not stated,9,12,824,14.56 (Unreliable)
Colorado,8,2017,2017,Mexican,2148-5,65,11442,5.68
Colorado,8,2017,2017,Other and Unknown Hispanic,5,19,4594,4.14 (Unreliable)
Colorado,8,2017,2017,Non-Hispanic White,6,157,38233,4.11
Colorado,8,2017,2017,Non-Hispanic Black,7,22,3560,6.18
Colorado,8,2017,2017,Non-Hispanic other races,8,12,3498,3.43 (Unreliable)
Connecticut,9,2007,2007,Puerto Rican,2180-8,37,4584,8.07
Connecticut,9,2007,2007,Non-Hispanic White,6,139,24915,5.58
Connecticut,9,2007,2007,Non-Hispanic Black,7,67,5171,12.96
Connecticut,9,2007,2007,Non-Hispanic other races,8,15,2616,5.73 (Unreliable)
Connecticut,9,2008,2008,Puerto Rican,2180-8,31,4675,6.63
Connecticut,9,2008,2008,Central or South American,4,10,2542,3.93 (Unreliable)
Connecticut,9,2008,2008,Non-Hispanic White,6,102,23955,4.26
Connecticut,9,2008,2008,Non-Hispanic Black,7,66,5142,12.84
Connecticut,9,2008,2008,Non-Hispanic other races,8,20,2517,7.95
Connecticut,9,2009,2009,Puerto Rican,2180-8,38,4586,8.29
Connecticut,9,2009,2009,Central or South American,4,15,2573,5.83 (Unreliable)
Connecticut,9,2009,2009,Non-Hispanic White,6,87,22800,3.82
Connecticut,9,2009,2009,Non-Hispanic Black,7,59,4970,11.87
Connecticut,9,2010,2010,Puerto Rican,2180-8,35,4375,8
Connecticut,9,2010,2010,Central or South American,4,15,2664,5.63 (Unreliable)
Connecticut,9,2010,2010,Non-Hispanic White,6,85,22021,3.86
Connecticut,9,2010,2010,Non-Hispanic Black,7,49,4742,10.33
Connecticut,9,2011,2011,Puerto Rican,2180-8,36,4490,8.02
Connecticut,9,2011,2011,Central or South American,4,13,2735,4.75 (Unreliable)
Connecticut,9,2011,2011,Non-Hispanic White,6,78,21538,3.62
Connecticut,9,2011,2011,Non-Hispanic Black,7,46,4776,9.63
Connecticut,9,2011,2011,Non-Hispanic other races,8,10,2491,4.01 (Unreliable)
Connecticut,9,2012,2012,Puerto Rican,2180-8,34,4251,8
Connecticut,9,2012,2012,Central or South American,4,12,2569,4.67 (Unreliable)
Connecticut,9,2012,2012,Non-Hispanic White,6,78,21261,3.67
Connecticut,9,2012,2012,Non-Hispanic Black,7,55,4716,11.66
Connecticut,9,2013,2013,Puerto Rican,2180-8,29,4402,6.59
Connecticut,9,2013,2013,Central or South American,4,12,2675,4.49 (Unreliable)
Connecticut,9,2013,2013,Non-Hispanic White,6,79,20704,3.82
Connecticut,9,2013,2013,Non-Hispanic Black,7,43,4606,9.34
Connecticut,9,2014,2014,Puerto Rican,2180-8,40,4240,9.43
Connecticut,9,2014,2014,Central or South American,4,11,2691,4.09 (Unreliable)
Connecticut,9,2014,2014,Non-Hispanic White,6,70,20933,3.34
Connecticut,9,2014,2014,Non-Hispanic Black,7,37,4615,8.02
Connecticut,9,2015,2015,Puerto Rican,2180-8,39,4282,9.11
Connecticut,9,2015,2015,Central or South American,4,16,2869,5.58 (Unreliable)
Connecticut,9,2015,2015,Non-Hispanic White,6,69,20395,3.38
Connecticut,9,2015,2015,Non-Hispanic Black,7,55,4439,12.39
Connecticut,9,2015,2015,Non-Hispanic other races,8,10,2543,3.93 (Unreliable)
Connecticut,9,2016,2016,Puerto Rican,2180-8,20,4177,4.79
Connecticut,9,2016,2016,Non-Hispanic White,6,58,19879,2.92
Connecticut,9,2016,2016,Non-Hispanic Black,7,55,4710,11.68
Connecticut,9,2016,2016,Non-Hispanic other races,8,22,2713,8.11
Connecticut,9,2017,2017,Puerto Rican,2180-8,20,4259,4.7
Connecticut,9,2017,2017,Central or South American,4,12,2412,4.98 (Unreliable)
Connecticut,9,2017,2017,Non-Hispanic White,6,57,19180,2.97
Connecticut,9,2017,2017,Non-Hispanic Black,7,47,4568,10.29
Delaware,10,2007,2007,Mexican,2148-5,14,984,14.23 (Unreliable)
Delaware,10,2007,2007,Non-Hispanic White,6,34,6496,5.23
Delaware,10,2007,2007,Non-Hispanic Black,7,37,3214,11.51
Delaware,10,2008,2008,Non-Hispanic White,6,40,6459,6.19
Delaware,10,2008,2008,Non-Hispanic Black,7,51,3226,15.81
Delaware,10,2009,2009,Non-Hispanic White,6,28,6183,4.53
Delaware,10,2009,2009,Non-Hispanic Black,7,54,3176,17
Delaware,10,2010,2010,Non-Hispanic White,6,44,6338,6.94
Delaware,10,2010,2010,Non-Hispanic Black,7,32,3054,10.48
Delaware,10,2011,2011,Non-Hispanic White,6,46,6222,7.39
Delaware,10,2011,2011,Non-Hispanic Black,7,40,3031,13.2
Delaware,10,2012,2012,Non-Hispanic White,6,30,6143,4.88
Delaware,10,2012,2012,Non-Hispanic Black,7,38,2913,13.04
Delaware,10,2013,2013,Non-Hispanic White,6,27,5942,4.54
Delaware,10,2013,2013,Non-Hispanic Black,7,36,2961,12.16
Delaware,10,2014,2014,Non-Hispanic White,6,28,5904,4.74
Delaware,10,2014,2014,Non-Hispanic Black,7,30,2847,10.54
Delaware,10,2015,2015,Non-Hispanic White,6,46,5959,7.72
Delaware,10,2015,2015,Non-Hispanic Black,7,39,2986,13.06
Delaware,10,2016,2016,Non-Hispanic White,6,35,5920,5.91
Delaware,10,2016,2016,Non-Hispanic Black,7,37,2954,12.53
Delaware,10,2017,2017,Non-Hispanic White,6,18,5434,3.31 (Unreliable)
Delaware,10,2017,2017,Non-Hispanic Black,7,38,2964,12.82
District of Columbia,11,2007,2007,Non-Hispanic White,6,12,2257,5.32 (Unreliable)
District of Columbia,11,2007,2007,Non-Hispanic Black,7,88,4910,17.92
District of Columbia,11,2008,2008,Non-Hispanic White,6,11,2364,4.65 (Unreliable)
District of Columbia,11,2008,2008,Non-Hispanic Black,7,85,5012,16.96
District of Columbia,11,2009,2009,Central or South American,4,12,1124,10.68 (Unreliable)
District of Columbia,11,2009,2009,Non-Hispanic Black,7,70,4718,14.84
District of Columbia,11,2010,2010,Non-Hispanic White,6,13,2492,5.22 (Unreliable)
District of Columbia,11,2010,2010,Non-Hispanic Black,7,48,4870,9.86
District of Columbia,11,2011,2011,Non-Hispanic Black,7,55,4809,11.44
District of Columbia,11,2012,2012,Non-Hispanic Black,7,59,4783,12.34
District of Columbia,11,2013,2013,Non-Hispanic Black,7,46,4798,9.59
District of Columbia,11,2014,2014,Non-Hispanic White,6,10,2966,3.37 (Unreliable)
District of Columbia,11,2014,2014,Non-Hispanic Black,7,52,4775,10.89
District of Columbia,11,2015,2015,Non-Hispanic Black,7,67,4802,13.95
District of Columbia,11,2016,2016,Non-Hispanic Black,7,56,4895,11.44
District of Columbia,11,2017,2017,Non-Hispanic White,6,13,3093,4.20 (Unreliable)
District of Columbia,11,2017,2017,Non-Hispanic Black,7,55,4677,11.76
Florida,12,2007,2007,Mexican,2148-5,107,18483,5.79
Florida,12,2007,2007,Puerto Rican,2180-8,96,12427,7.73
Florida,12,2007,2007,Cuban,2182-4,59,11875,4.97
Florida,12,2007,2007,Central or South American,4,100,24728,4.04
Florida,12,2007,2007,Other and Unknown Hispanic,5,28,3326,8.42
Florida,12,2007,2007,Non-Hispanic White,6,573,107816,5.31
Florida,12,2007,2007,Non-Hispanic Black,7,674,51799,13.01
Florida,12,2007,2007,Non-Hispanic other races,8,38,7937,4.79
Florida,12,2007,2007,Origin unknown or not stated,9,18,774,23.26 (Unreliable)
Florida,12,2008,2008,Mexican,2148-5,90,16020,5.62
Florida,12,2008,2008,Puerto Rican,2180-8,88,12202,7.21
Florida,12,2008,2008,Cuban,2182-4,49,11613,4.22
Florida,12,2008,2008,Central or South American,4,107,23053,4.64
Florida,12,2008,2008,Other and Unknown Hispanic,5,23,3131,7.35
Florida,12,2008,2008,Non-Hispanic White,6,611,105710,5.78
Florida,12,2008,2008,Non-Hispanic Black,7,653,51699,12.63
Florida,12,2008,2008,Non-Hispanic other races,8,48,7568,6.34
Florida,12,2008,2008,Origin unknown or not stated,9,14,449,31.18 (Unreliable)
