"Notes"	"State"	"State Code"	"Mother's Education"	"Mother's Education Code"	Deaths	Births	Death Rate
	"South Carolina"	"45"	"9th through 12th grade with no diploma"	"2"	65	6376	10.19
	"South Carolina"	"45"	"High school graduate or GED completed"	"3"	114	13793	8.27
	"South Carolina"	"45"	"Some college credit, but not a degree"	"4"	80	14205	5.63
	"South Carolina"	"45"	"Associate degree (AA, AS)"	"5"	23	5132	4.48
	"South Carolina"	"45"	"Bachelor's degree (BA, AB, BS)"	"6"	52	10329	5.03
	"South Carolina"	"45"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	15	4408	3.40 (Unreliable)
"Total"	"South Carolina"	"45"			372	57029	6.52
	"South Dakota"	"46"	"9th through 12th grade with no diploma"	"2"	15	1432	10.47 (Unreliable)
	"South Dakota"	"46"	"High school graduate or GED completed"	"3"	36	2944	12.23
	"South Dakota"	"46"	"Some college credit, but not a degree"	"4"	20	2110	9.48
	"South Dakota"	"46"	"Bachelor's degree (BA, AB, BS)"	"6"	11	2761	3.98 (Unreliable)
"Total"	"South Dakota"	"46"			94	12134	7.75
	"Tennessee"	"47"	"8th grade or less"	"1"	19	2730	6.96 (Unreliable)
	"Tennessee"	"47"	"9th through 12th grade with no diploma"	"2"	84	7987	10.52
	"Tennessee"	"47"	"High school graduate or GED completed"	"3"	220	22746	9.67
	"Tennessee"	"47"	"Some college credit, but not a degree"	"4"	142	19065	7.45
	"Tennessee"	"47"	"Associate degree (AA, AS)"	"5"	26	5868	4.43
	"Tennessee"	"47"	"Bachelor's degree (BA, AB, BS)"	"6"	62	14338	4.32
	"Tennessee"	"47"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	19	5887	3.23 (Unreliable)
	"Tennessee"	"47"	"Unknown or Not Stated"	"Unk"	13	539	24.12 (Unreliable)
"Total"	"Tennessee"	"47"			591	81016	7.29
	"Texas"	"48"	"8th grade or less"	"1"	84	12913	6.51
	"Texas"	"48"	"9th through 12th grade with no diploma"	"2"	376	53647	7.01
	"Texas"	"48"	"High school graduate or GED completed"	"3"	742	105131	7.06
	"Texas"	"48"	"Some college credit, but not a degree"	"4"	496	82983	5.98
	"Texas"	"48"	"Associate degree (AA, AS)"	"5"	115	24008	4.79
	"Texas"	"48"	"Bachelor's degree (BA, AB, BS)"	"6"	232	69377	3.34
	"Texas"	"48"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	105	25678	4.09
	"Texas"	"48"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	32	7731	4.14
	"Texas"	"48"	"Unknown or Not Stated"	"Unk"	52	582	89.35
"Total"	"Texas"	"48"			2236	382050	5.85
	"Utah"	"49"	"9th through 12th grade with no diploma"	"2"	22	3362	6.54
	"Utah"	"49"	"High school graduate or GED completed"	"3"	71	9536	7.45
	"Utah"	"49"	"Some college credit, but not a degree"	"4"	78	12280	6.35
	"Utah"	"49"	"Associate degree (AA, AS)"	"5"	31	5420	5.72
	"Utah"	"49"	"Bachelor's degree (BA, AB, BS)"	"6"	51	13104	3.89
	"Utah"	"49"	"Unknown or Not Stated"	"Unk"	15	765	19.61 (Unreliable)
"Total"	"Utah"	"49"			286	48585	5.89
